Places_name	Places_type	Places_city	Places_reference	Budget	timing
Bahria Adventure Land	Adventure / Amusement Park	Karachi	https://maps.app.goo.gl/u6gbdebftEqkAqUa8	High	Evening
Quaid-e-Azam Mausoleum	Historical / Monument	Karachi	https://maps.app.goo.gl/QnRV3Pv6eeQJv8SD8	Low	Morning 
Clifton Beach (Sea View)	Beach / Leisure	Karachi	https://maps.app.goo.gl/QKDsvR5QXD4TP42g9	Low	Evening
Mohatta Palace Museum	Historical / Museum	Karachi	https://maps.app.goo.gl/nM1VzLrQ9b1FLhBj6	Low	 Afternoon
Frere Hall	Historical / Architectural	Karachi	https://maps.app.goo.gl/RfCmvGmQSS2NvFDfA	Moderate	Afternoon 
Port Grand	Food & Entertainment / Waterfront	Karachi	https://maps.app.goo.gl/jfnrBFKFcajcTU129	Moderate	Evening 
Pakistan Maritime Museum	Museum / Educational	Karachi	https://maps.app.goo.gl/awJ9WZHQPsTfjcQ47	Low	Afternoon
Hawks Bay Beach	Beach / Adventure	Karachi	https://maps.app.goo.gl/PX1xMSkyE9AMpxH46	Moderate	All-day
Quaid-e-Azam House (Flagstaff House)	Historical / Museum	Karachi	https://maps.app.goo.gl/AhQfSEqhYZ8WKca17	Low	Morning 
National Museum of Pakistan	Museum / Cultural	Karachi	https://maps.app.goo.gl/38XoCuYz7rsnJY227	Low	Morning
PAF Museum	Museum / Military	Karachi	https://maps.app.goo.gl/KXoCv9nWYLmhbubz7	Low	Afternoon 
Empress Market	Historical / Market	Karachi	https://maps.app.goo.gl/sUWs9idckwPLPsnY6	Low	Morning
Dolmen Mall Clifton	Shopping / Modern Leisure	Karachi	https://maps.app.goo.gl/Xw5wLsN1sDAtH4DL7	High	All-day
Wazir Mansion	Historical / Museum	Karachi	https://maps.app.goo.gl/KqhAFzGrjrij9yC79	Low	Morning 
TDF MagnifiScience Centre	Science / Educational	Karachi	https://maps.app.goo.gl/MJvStJYtQPjJim9x7	High	Morning 
Chaukhandi Tombs	Historical / Archaeological	Karachi	https://maps.app.goo.gl/xHDqCRw8ZDZcjZsP8	Low	Morning
Sandspit Beach	Beach / Adventure	Karachi	https://maps.app.goo.gl/6g5y8zWT8hpi8wmcA	Low	All-day
Safari Park	Wildlife / Adventure Park	Karachi	https://maps.app.goo.gl/ta4VZgPcPgfCwViA7	Low	Morning 
A.K. Khan Park	Park / Family Recreation	Karachi	https://maps.app.goo.gl/XLcWdiz5jr355w4GA	Low	Evening
Do Darya	Food Street / Waterfront	Karachi	https://maps.app.goo.gl/mEffJdMY2zSr8Ui29	High	Night
Mufti Ramzan Family Park & Mini Zoo	Family Park / Zoo	Karachi	https://maps.app.goo.gl/pV7JASdUnnWfJE4V9	Low	Evening
Bagh Ibn-e-Qasim Park	Park / Garden	Karachi	https://maps.app.goo.gl/cNtcNnEVeDKtGCo1A	Low	Evening
Chunky Monkey Amusement Park	Amusement / Family Fun	Karachi	https://maps.app.goo.gl/XWAddKsJiEjknyMP8	Low	Evening
Hill Park	Park / City View	Karachi	https://maps.app.goo.gl/4a6Gz9jeZkY73G5T9	Low	Evening
Christ the King Monument	Religious / Historical	Karachi	https://maps.app.goo.gl/seZWcfE1eVRfq5dRA	Low	Morning 
Sea View Wall	Scenic / Leisure	Karachi	https://maps.app.goo.gl/ikukhzXGxoeSUmGh7	Low	Evening 
Native jetty old boating and view point	Waterfront / Scenic	Karachi	https://maps.app.goo.gl/j29QEM9ZtbbqCJWG9	High	Evening
